"","source","target"
"1","1_SFG_L","3_SFG_PFC_L"
"2","1_SFG_L","5_SFG_pole_L"
"3","1_SFG_L","7_MFG_L"
"4","1_SFG_L","9_MFG_DPFC_L"
"5","1_SFG_L","11_IFG_opercularis_L"
"6","1_SFG_L","13_IFG_orbitalis_L"
"7","1_SFG_L","15_IFG_triangularis_L"
"8","1_SFG_L","17_LFOG_L"
"9","1_SFG_L","19_MFOG_L"
"10","1_SFG_L","21_RG_L"
"11","1_SFG_L","25_PrCG_L"
"12","2_SFG_R","4_SFG_PFC_R"
"13","2_SFG_R","6_SFG_pole_R"
"14","2_SFG_R","8_MFG_R"
"15","2_SFG_R","10_MFG_DPFC_R"
"16","2_SFG_R","12_IFG_opercularis_R"
"17","2_SFG_R","14_IFG_orbitalis_R"
"18","2_SFG_R","16_IFG_triangularis_R"
"19","2_SFG_R","18_LFOG_R"
"20","2_SFG_R","20_MFOG_R"
"21","2_SFG_R","22_RG_R"
"22","2_SFG_R","26_PrCG_R"
"23","3_SFG_PFC_L","5_SFG_pole_L"
"24","3_SFG_PFC_L","7_MFG_L"
"25","3_SFG_PFC_L","9_MFG_DPFC_L"
"26","3_SFG_PFC_L","11_IFG_opercularis_L"
"27","3_SFG_PFC_L","13_IFG_orbitalis_L"
"28","3_SFG_PFC_L","15_IFG_triangularis_L"
"29","3_SFG_PFC_L","17_LFOG_L"
"30","3_SFG_PFC_L","19_MFOG_L"
"31","3_SFG_PFC_L","21_RG_L"
"32","3_SFG_PFC_L","25_PrCG_L"
"33","4_SFG_PFC_R","6_SFG_pole_R"
"34","4_SFG_PFC_R","8_MFG_R"
"35","4_SFG_PFC_R","10_MFG_DPFC_R"
"36","4_SFG_PFC_R","12_IFG_opercularis_R"
"37","4_SFG_PFC_R","14_IFG_orbitalis_R"
"38","4_SFG_PFC_R","16_IFG_triangularis_R"
"39","4_SFG_PFC_R","18_LFOG_R"
"40","4_SFG_PFC_R","20_MFOG_R"
"41","4_SFG_PFC_R","22_RG_R"
"42","4_SFG_PFC_R","26_PrCG_R"
"43","5_SFG_pole_L","7_MFG_L"
"44","5_SFG_pole_L","9_MFG_DPFC_L"
"45","5_SFG_pole_L","11_IFG_opercularis_L"
"46","5_SFG_pole_L","13_IFG_orbitalis_L"
"47","5_SFG_pole_L","15_IFG_triangularis_L"
"48","5_SFG_pole_L","17_LFOG_L"
"49","5_SFG_pole_L","19_MFOG_L"
"50","5_SFG_pole_L","21_RG_L"
"51","5_SFG_pole_L","25_PrCG_L"
"52","6_SFG_pole_R","8_MFG_R"
"53","6_SFG_pole_R","10_MFG_DPFC_R"
"54","6_SFG_pole_R","12_IFG_opercularis_R"
"55","6_SFG_pole_R","14_IFG_orbitalis_R"
"56","6_SFG_pole_R","16_IFG_triangularis_R"
"57","6_SFG_pole_R","18_LFOG_R"
"58","6_SFG_pole_R","20_MFOG_R"
"59","6_SFG_pole_R","22_RG_R"
"60","6_SFG_pole_R","26_PrCG_R"
"61","7_MFG_L","9_MFG_DPFC_L"
"62","7_MFG_L","11_IFG_opercularis_L"
"63","7_MFG_L","13_IFG_orbitalis_L"
"64","7_MFG_L","15_IFG_triangularis_L"
"65","7_MFG_L","17_LFOG_L"
"66","7_MFG_L","19_MFOG_L"
"67","7_MFG_L","21_RG_L"
"68","7_MFG_L","25_PrCG_L"
"69","8_MFG_R","10_MFG_DPFC_R"
"70","8_MFG_R","12_IFG_opercularis_R"
"71","8_MFG_R","14_IFG_orbitalis_R"
"72","8_MFG_R","16_IFG_triangularis_R"
"73","8_MFG_R","18_LFOG_R"
"74","8_MFG_R","20_MFOG_R"
"75","8_MFG_R","22_RG_R"
"76","8_MFG_R","26_PrCG_R"
"77","9_MFG_DPFC_L","11_IFG_opercularis_L"
"78","9_MFG_DPFC_L","13_IFG_orbitalis_L"
"79","9_MFG_DPFC_L","15_IFG_triangularis_L"
"80","9_MFG_DPFC_L","17_LFOG_L"
"81","9_MFG_DPFC_L","19_MFOG_L"
"82","9_MFG_DPFC_L","21_RG_L"
"83","9_MFG_DPFC_L","25_PrCG_L"
"84","10_MFG_DPFC_R","12_IFG_opercularis_R"
