Region Index,Level_5,Level_4,Level_3,Level_2,Level_1
1,SFG_L,SFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
2,SFG_R,SFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
3,SFG_PFC_L,SFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
4,SFG_PFC_R,SFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
5,SFG_pole_L,SFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
6,SFG_pole_R,SFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
7,MFG_L,MFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
8,MFG_R,MFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
9,MFG_DPFC_L,MFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
10,MFG_DPFC_R,MFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
11,IFG_opercularis_L,IFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
12,IFG_opercularis_R,IFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
13,IFG_orbitalis_L,IFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
14,IFG_orbitalis_R,IFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
15,IFG_triangularis_L,IFG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
16,IFG_triangularis_R,IFG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
17,LFOG_L,OG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
18,LFOG_R,OG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
19,MFOG_L,OG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
20,MFOG_R,OG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
21,RG_L,RG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
22,RG_R,RG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
23,PoCG_L,PoCG_L,Parietal_L,CerebralCortex_L,Telencephalon_L
24,PoCG_R,PoCG_R,Parietal_R,CerebralCortex_R,Telencephalon_R
25,PrCG_L,PrCG_L,Frontal_L,CerebralCortex_L,Telencephalon_L
26,PrCG_R,PrCG_R,Frontal_R,CerebralCortex_R,Telencephalon_R
27,SPG_L,SPG_L,Parietal_L,CerebralCortex_L,Telencephalon_L
28,SPG_R,SPG_R,Parietal_R,CerebralCortex_R,Telencephalon_R
29,SMG_L,SMG_L,Parietal_L,CerebralCortex_L,Telencephalon_L
30,SMG_R,SMG_R,Parietal_R,CerebralCortex_R,Telencephalon_R
31,AG_L,AG_L,Parietal_L,CerebralCortex_L,Telencephalon_L
32,AG_R,AG_R,Parietal_R,CerebralCortex_R,Telencephalon_R
33,PrCu_L,PrCu_L,Parietal_L,CerebralCortex_L,Telencephalon_L
34,PrCu_R,PrCu_R,Parietal_R,CerebralCortex_R,Telencephalon_R
35,STG_L,STG_L,Temporal_L,CerebralCortex_L,Telencephalon_L
36,STG_R,STG_R,Temporal_R,CerebralCortex_R,Telencephalon_R
37,STG_L_pole,STG_L,Temporal_L,CerebralCortex_L,Telencephalon_L
38,STG_R_pole,STG_R,Temporal_R,CerebralCortex_R,Telencephalon_R
39,MTG_L,MTG_L,Temporal_L,CerebralCortex_L,Telencephalon_L
40,MTG_R,MTG_R,Temporal_R,CerebralCortex_R,Telencephalon_R
41,MTG_L_pole,MTG_L,Temporal_L,CerebralCortex_L,Telencephalon_L
42,MTG_R_pole,MTG_R,Temporal_R,CerebralCortex_R,Telencephalon_R
43,ITG_L,ITG_L,Temporal_L,CerebralCortex_L,Telencephalon_L
44,ITG_R,ITG_R,Temporal_R,CerebralCortex_R,Telencephalon_R
45,PHG_L,Limbic_L,Limbic_L,CerebralCortex_L,Telencephalon_L
46,PHG_R,Limbic_R,Limbic_R,CerebralCortex_R,Telencephalon_R
47,ENT_L,Limbic_L,Limbic_L,CerebralCortex_L,Telencephalon_L
48,ENT_R,Limbic_R,Limbic_R,CerebralCortex_R,Telencephalon_R
49,FuG_L,FuG_L,Temporal_L,CerebralCortex_L,Telencephalon_L
50,FuG_R,FuG_R,Temporal_R,CerebralCortex_R,Telencephalon_R
51,SOG_L,SOG_L,Occipital_L,CerebralCortex_L,Telencephalon_L
52,SOG_R,SOG_R,Occipital_R,CerebralCortex_R,Telencephalon_R
53,MOG_L,MOG_L,Occipital_L,CerebralCortex_L,Telencephalon_L
54,MOG_R,MOG_R,Occipital_R,CerebralCortex_R,Telencephalon_R
55,IOG_L,IOG_L,Occipital_L,CerebralCortex_L,Telencephalon_L
56,IOG_R,IOG_R,Occipital_R,CerebralCortex_R,Telencephalon_R
57,Cu_L,Cu_L,Occipital_L,CerebralCortex_L,Telencephalon_L
58,Cu_R,Cu_R,Occipital_R,CerebralCortex_R,Telencephalon_R
59,LG_L,LG_L,Occipital_L,CerebralCortex_L,Telencephalon_L
60,LG_R,LG_R,Occipital_R,CerebralCortex_R,Telencephalon_R
61,rostral_ACC_L,Cingulate_L,Limbic_L,CerebralCortex_L,Telencephalon_L
62,rostral_ACC_R,Cingulate_R,Limbic_R,CerebralCortex_R,Telencephalon_R
63,subcallosal_ACC_L,Cingulate_L,Limbic_L,CerebralCortex_L,Telencephalon_L
64,subcallosal_ACC_R,Cingulate_R,Limbic_R,CerebralCortex_R,Telencephalon_R
65,subgenual_ACC_L,Cingulate_L,Limbic_L,CerebralCortex_L,Telencephalon_L
66,subgenual_ACC_R,Cingulate_R,Limbic_R,CerebralCortex_R,Telencephalon_R
67,dorsal_ACC_L,Cingulate_L,Limbic_L,CerebralCortex_L,Telencephalon_L
68,dorsal_ACC_R,Cingulate_R,Limbic_R,CerebralCortex_R,Telencephalon_R
